Date,Precip,Air max,min,RH max,min
20180203,0,77,54,53,21
20180204,0,82,52,68,21
20180205,0,69,50,93,54
20180206,0,65,52,92,63
20180207,0,80,50,95,17
20180208,0,78,51,73,13
20180209,0,65,48,93,63
20180210,0,64,55,84,62
20180211,0,68,52,91,52
20180212,0,61,54,79,52
20180213,0.01,65,49,82,40
20180214,0,70,53,89,38
20180215,0,69,52,90,45
20180216,0,76,53,65,15
20180217,0,75,49,45,12
20180218,0,67,50,76,37
20180219,0,58,46,70,34
20180220,0,57,39,68,20
20180221,0,60,40,65,34
20180222,0.04,59,43,80,56
20180223,0,58,45,,
20180224,0,63,41,62,22
20180225,0,68,39,63,29
20180226,0,63,44,77,39
20180227,0.48,57,44,95,50
20180228,0,61,42,88,55
20180301,0,62,45,87,53
20180302,0,65,45,89,52
20180303,0.12,63,52,98,57
20180304,0.02,61,47,84,44
20180305,0,70,44,76,18
20180306,0,76,50,51,12
20180307,0,72,50,79,19
20180308,0,71,52,87,31
20180309,0,69,51,94,57
20180310,0.54,60,57,100,88
20180311,0,68,57,94,73
20180312,0,69,57,94,71
20180313,0.02,70,57,99,71
20180314,0.04,67,58,99,59
20180315,0.08,63,50,92,54
20180316,0,63,53,84,49
20180317,0.24,63,50,99,55
20180318,0,62,47,91,50
20180319,0,70,47,89,37
20180320,0,71,50,90,36
20180321,0,76,52,71,27
20180322,0,73,58,89,48
20180323,0,66,56,97,74
20180324,0,64,52,88,56
20180325,0,63,50,82,49
20180326,0,63,48,75,50
20180327,0,68,47,71,32
20180328,0,73,49,96,32
20180329,0,71,49,100,54
20180330,0,69,55,99,54
20180331,0,69,52,100,67
20180401,0,66,54,93,66
20180402,0,64,57,84,69
20180403,0,68,56,92,64
20180404,0,66,55,93,76
20180405,0,67,55,94,62
20180406,0,68,54,94,65
20180407,0,73,57,94,68
20180408,0,73,55,92,60
20180409,0,80,54,94,48
20180410,0,86,55,97,20
20180411,0.01,74,56,99,52
20180412,0,66,53,86,54
20180413,0.01,75,51,80,21
20180414,0,84,52,39,12
20180415,0,76,55,93,23
20180416,0,66,54,93,52
20180417,0.02,65,49,77,35
20180418,0.01,66,49,88,61
20180419,0.01,63,50,85,54
20180420,0,67,50,92,48
20180421,0.01,77,51,96,38
20180422,0,75,53,98,47
20180423,0,72,54,100,58
20180424,0,70,54,98,61
20180425,0.09,68,54,90,62
20180426,0,67,56,84,63
20180427,0,67,54,93,60
20180428,0,69,54,86,60
20180429,0,66,56,84,64
20180430,0,62,55,93,73
20180501,0,61,52,96,62
20180502,0,64,52,96,61
20180503,0,69,50,92,57
20180504,0.01,86,54,94,30
20180505,0.1,81,55,96,44
20180506,0,76,55,91,56
20180507,0,69,55,96,66
